,LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemploy-ment Rate (%)
19672,CN1203900000000,12.0,39.0,"Gadsden County, FL",2021.0,19283     ,18250     ,1033     ,5.4
19673,CN1204100000000,12.0,41.0,"Gilchrist County, FL",2021.0,7226     ,6956     ,270     ,3.7
19674,CN1204300000000,12.0,43.0,"Glades County, FL",2021.0,5073     ,4862     ,211     ,4.2
19675,CN1204500000000,12.0,45.0,"Gulf County, FL",2021.0,5270     ,5080     ,190     ,3.6
19676,CN1204700000000,12.0,47.0,"Hamilton County, FL",2021.0,4137     ,3887     ,250     ,6.0
19677,CN1204900000000,12.0,49.0,"Hardee County, FL",2021.0,8895     ,8471     ,424     ,4.8
19678,CN1205100000000,12.0,51.0,"Hendry County, FL",2021.0,15734     ,14782     ,952     ,6.1
19679,CN1205300000000,12.0,53.0,"Hernando County, FL",2021.0,73476     ,69734     ,3742     ,5.1
19680,CN1205500000000,12.0,55.0,"Highlands County, FL",2021.0,34977     ,32919     ,2058     ,5.9
19681,CN1205700000000,12.0,57.0,"Hillsborough County, FL",2021.0,769097     ,736399     ,32698     ,4.3
19682,CN1205900000000,12.0,59.0,"Holmes County, FL",2021.0,6935     ,6652     ,283     ,4.1
19683,CN1206100000000,12.0,61.0,"Indian River County, FL",2021.0,65119     ,62043     ,3076     ,4.7
19684,CN1206300000000,12.0,63.0,"Jackson County, FL",2021.0,17202     ,16413     ,789     ,4.6
19685,CN1206500000000,12.0,65.0,"Jefferson County, FL",2021.0,5580     ,5345     ,235     ,4.2
19686,CN1206700000000,12.0,67.0,"Lafayette County, FL",2021.0,2787     ,2676     ,111     ,4.0
19687,CN1206900000000,12.0,69.0,"Lake County, FL",2021.0,159493     ,152035     ,7458     ,4.7
19688,CN1207100000000,12.0,71.0,"Lee County, FL",2021.0,357018     ,342117     ,14901     ,4.2
19689,CN1207300000000,12.0,73.0,"Leon County, FL",2021.0,154331     ,147861     ,6470     ,4.2
19690,CN1207500000000,12.0,75.0,"Levy County, FL",2021.0,16849     ,16095     ,754     ,4.5
19691,CN1207700000000,12.0,77.0,"Liberty County, FL",2021.0,2582     ,2474     ,108     ,4.2
19692,CN1207900000000,12.0,79.0,"Madison County, FL",2021.0,7720     ,7339     ,381     ,4.9
19693,CN1208100000000,12.0,81.0,"Manatee County, FL",2021.0,182554     ,175379     ,7175     ,3.9
19694,CN1208300000000,12.0,83.0,"Marion County, FL",2021.0,141992     ,135009     ,6983     ,4.9
19695,CN1208500000000,12.0,85.0,"Martin County, FL",2021.0,73492     ,70878     ,2614     ,3.6
19696,CN1208600000000,12.0,86.0,"Miami-Dade County, FL",2021.0,1307815     ,1239474     ,68341     ,5.2
19697,CN1208700000000,12.0,87.0,"Monroe County, FL",2021.0,45926     ,44558     ,1368     ,3.0
19698,CN1208900000000,12.0,89.0,"Nassau County, FL",2021.0,42729     ,41268     ,1461     ,3.4
19699,CN1209100000000,12.0,91.0,"Okaloosa County, FL",2021.0,99417     ,96102     ,3315     ,3.3
19700,CN1209300000000,12.0,93.0,"Okeechobee County, FL",2021.0,17488     ,16768     ,720     ,4.1
19701,CN1209500000000,12.0,95.0,"Orange County, FL",2021.0,741002     ,702684     ,38318     ,5.2
19702,CN1209700000000,12.0,97.0,"Osceola County, FL",2021.0,185839     ,174170     ,11669     ,6.3
19703,CN1209900000000,12.0,99.0,"Palm Beach County, FL",2021.0,734055     ,702386     ,31669     ,4.3
19704,CN1210100000000,12.0,101.0,"Pasco County, FL",2021.0,246350     ,235484     ,10866     ,4.4
19705,CN1210300000000,12.0,103.0,"Pinellas County, FL",2021.0,486173     ,466708     ,19465     ,4.0
19706,CN1210500000000,12.0,105.0,"Polk County, FL",2021.0,328590     ,311005     ,17585     ,5.4
19707,CN1210700000000,12.0,107.0,"Putnam County, FL",2021.0,27149     ,25501     ,1648     ,6.1
19708,CN1210900000000,12.0,109.0,"St. Johns County, FL",2021.0,141901     ,137591     ,4310     ,3.0
19709,CN1211100000000,12.0,111.0,"St. Lucie County, FL",2021.0,150366     ,143002     ,7364     ,4.9
19710,CN1211300000000,12.0,113.0,"Santa Rosa County, FL",2021.0,84880     ,81942     ,2938     ,3.5
19711,CN1211500000000,12.0,115.0,"Sarasota County, FL",2021.0,191384     ,184019     ,7365     ,3.8
19712,CN1211700000000,12.0,117.0,"Seminole County, FL",2021.0,244546     ,234590     ,9956     ,4.1
19713,CN1211900000000,12.0,119.0,"Sumter County, FL",2021.0,34621     ,32790     ,1831     ,5.3
19714,CN1212100000000,12.0,121.0,"Suwannee County, FL",2021.0,17414     ,16637     ,777     ,4.5
19715,CN1212300000000,12.0,123.0,"Taylor County, FL",2021.0,8112     ,7708     ,404     ,5.0
19716,CN1212500000000,12.0,125.0,"Union County, FL",2021.0,4546     ,4376     ,170     ,3.7
19717,CN1212700000000,12.0,127.0,"Volusia County, FL",2021.0,255093     ,243303     ,11790     ,4.6
19718,CN1212900000000,12.0,129.0,"Wakulla County, FL",2021.0,15429     ,14941     ,488     ,3.2
19719,CN1213100000000,12.0,131.0,"Walton County, FL",2021.0,33792     ,32597     ,1195     ,3.5
19720,CN1213300000000,12.0,133.0,"Washington County, FL",2021.0,9507     ,9079     ,428     ,4.5
19721,CN1300100000000,13.0,1.0,"Appling County, GA",2021.0,9288     ,8956     ,332     ,3.6
19722,CN1300300000000,13.0,3.0,"Atkinson County, GA",2021.0,4503     ,4372     ,131     ,2.9
19723,CN1300500000000,13.0,5.0,"Bacon County, GA",2021.0,4837     ,4680     ,157     ,3.2
19724,CN1300700000000,13.0,7.0,"Baker County, GA",2021.0,1135     ,1079     ,56     ,4.9
19725,CN1300900000000,13.0,9.0,"Baldwin County, GA",2021.0,17731     ,16885     ,846     ,4.8
19726,CN1301100000000,13.0,11.0,"Banks County, GA",2021.0,10116     ,9854     ,262     ,2.6
19727,CN1301300000000,13.0,13.0,"Barrow County, GA",2021.0,42115     ,40882     ,1233     ,2.9
19728,CN1301500000000,13.0,15.0,"Bartow County, GA",2021.0,51257     ,49456     ,1801     ,3.5
19729,CN1301700000000,13.0,17.0,"Ben Hill County, GA",2021.0,5568     ,5276     ,292     ,5.2
19730,CN1301900000000,13.0,19.0,"Berrien County, GA",2021.0,7648     ,7363     ,285     ,3.7
19731,CN1302100000000,13.0,21.0,"Bibb County, GA",2021.0,67875     ,64471     ,3404     ,5.0
19732,CN1302300000000,13.0,23.0,"Bleckley County, GA",2021.0,4622     ,4393     ,229     ,5.0
19733,CN1302500000000,13.0,25.0,"Brantley County, GA",2021.0,7296     ,7030     ,266     ,3.6
19734,CN1302700000000,13.0,27.0,"Brooks County, GA",2021.0,6821     ,6566     ,255     ,3.7
19735,CN1302900000000,13.0,29.0,"Bryan County, GA",2021.0,19894     ,19321     ,573     ,2.9
19736,CN1303100000000,13.0,31.0,"Bulloch County, GA",2021.0,38062     ,36495     ,1567     ,4.1
19737,CN1303300000000,13.0,33.0,"Burke County, GA",2021.0,9156     ,8621     ,535     ,5.8
19738,CN1303500000000,13.0,35.0,"Butts County, GA",2021.0,11132     ,10727     ,405     ,3.6
19739,CN1303700000000,13.0,37.0,"Calhoun County, GA",2021.0,2228     ,2138     ,90     ,4.0
19740,CN1303900000000,13.0,39.0,"Camden County, GA",2021.0,21658     ,20973     ,685     ,3.2
19741,CN1304300000000,13.0,43.0,"Candler County, GA",2021.0,6009     ,5827     ,182     ,3.0
19742,CN1304500000000,13.0,45.0,"Carroll County, GA",2021.0,56140     ,54073     ,2067     ,3.7
19743,CN1304700000000,13.0,47.0,"Catoosa County, GA",2021.0,33457     ,32551     ,906     ,2.7
19744,CN1304900000000,13.0,49.0,"Charlton County, GA",2021.0,4959     ,4802     ,157     ,3.2
19745,CN1305100000000,13.0,51.0,"Chatham County, GA",2021.0,143877     ,137644     ,6233     ,4.3
19746,CN1305300000000,13.0,53.0,"Chattahoochee County, GA",2021.0,1912     ,1826     ,86     ,4.5
19747,CN1305500000000,13.0,55.0,"Chattooga County, GA",2021.0,9562     ,9107     ,455     ,4.8
19748,CN1305700000000,13.0,57.0,"Cherokee County, GA",2021.0,139406     ,135761     ,3645     ,2.6
19749,CN1305900000000,13.0,59.0,"Clarke County, GA",2021.0,59167     ,56922     ,2245     ,3.8
19750,CN1306100000000,13.0,61.0,"Clay County, GA",2021.0,884     ,794     ,90     ,10.2
19751,CN1306300000000,13.0,63.0,"Clayton County, GA",2021.0,140309     ,131120     ,9189     ,6.5
19752,CN1306500000000,13.0,65.0,"Clinch County, GA",2021.0,3022     ,2933     ,89     ,2.9
19753,CN1306700000000,13.0,67.0,"Cobb County, GA",2021.0,423126     ,409319     ,13807     ,3.3
19754,CN1306900000000,13.0,69.0,"Coffee County, GA",2021.0,18845     ,18079     ,766     ,4.1
19755,CN1307100000000,13.0,71.0,"Colquitt County, GA",2021.0,22227     ,21514     ,713     ,3.2
19756,CN1307300000000,13.0,73.0,"Columbia County, GA",2021.0,76478     ,74420     ,2058     ,2.7
19757,CN1307500000000,13.0,75.0,"Cook County, GA",2021.0,8237     ,7957     ,280     ,3.4
19758,CN1307700000000,13.0,77.0,"Coweta County, GA",2021.0,76218     ,73661     ,2557     ,3.4
19759,CN1307900000000,13.0,79.0,"Crawford County, GA",2021.0,5523     ,5319     ,204     ,3.7
19760,CN1308100000000,13.0,81.0,"Crisp County, GA",2021.0,10068     ,9206     ,862     ,8.6
19761,CN1308300000000,13.0,83.0,"Dade County, GA",2021.0,8049     ,7839     ,210     ,2.6
19762,CN1308500000000,13.0,85.0,"Dawson County, GA",2021.0,13115     ,12765     ,350     ,2.7
19763,CN1308700000000,13.0,87.0,"Decatur County, GA",2021.0,11338     ,10923     ,415     ,3.7
19764,CN1308900000000,13.0,89.0,"DeKalb County, GA",2021.0,400667     ,382143     ,18524     ,4.6
19765,CN1309100000000,13.0,91.0,"Dodge County, GA",2021.0,7005     ,6709     ,296     ,4.2
19766,CN1309300000000,13.0,93.0,"Dooly County, GA",2021.0,4936     ,4577     ,359     ,7.3
19767,CN1309500000000,13.0,95.0,"Dougherty County, GA",2021.0,37494     ,35110     ,2384     ,6.4
19768,CN1309700000000,13.0,97.0,"Douglas County, GA",2021.0,74001     ,70771     ,3230     ,4.4
19769,CN1309900000000,13.0,99.0,"Early County, GA",2021.0,4338     ,4121     ,217     ,5.0
19770,CN1310100000000,13.0,101.0,"Echols County, GA",2021.0,1897     ,1845     ,52     ,2.7
19771,CN1310300000000,13.0,103.0,"Effingham County, GA",2021.0,33266     ,32292     ,974     ,2.9
19772,CN1310500000000,13.0,105.0,"Elbert County, GA",2021.0,7810     ,7429     ,381     ,4.9
19773,CN1310700000000,13.0,107.0,"Emanuel County, GA",2021.0,8698     ,8240     ,458     ,5.3
19774,CN1310900000000,13.0,109.0,"Evans County, GA",2021.0,5179     ,4998     ,181     ,3.5
19775,CN1311100000000,13.0,111.0,"Fannin County, GA",2021.0,11797     ,11463     ,334     ,2.8
19776,CN1311300000000,13.0,113.0,"Fayette County, GA",2021.0,58170     ,56475     ,1695     ,2.9
19777,CN1311500000000,13.0,115.0,"Floyd County, GA",2021.0,43891     ,42277     ,1614     ,3.7
